Date,LO_1,LO_2,OS_1,OS_2,DQS_1,DQS_2,Other
13-Apr-21,Martin Landriau,,Claire Poppett,Michael Walther,Calum Gordon,,
14-Apr-21,Martin Landriau,,Jeffrey A. Newman,Michael Walther,Calum Gordon,,
15-Apr-21,Martin Landriau,,John Della Costa,Antonella Palmese,Calum Gordon,,
16-Apr-21,Martin Landriau,,John Della Costa,Daniel Eisenstein,Calum Gordon,,
17-Apr-21,Martin Landriau,,John Della Costa,Segev BenZvi,Siwei Zou,,
18-Apr-21,Satya Gontcho A Gontcho,Luke Tyas,John Della Costa,Segev BenZvi,Siwei Zou,,
19-Apr-21,Martin Landriau,,John Della Costa,Antonella Palmese,Siwei Zou,,
20-Apr-21,Martin Landriau,,John Della Costa,Antonella Palmese,Siwei Zou,,
21-Apr-21,Martin Landriau,,John Della Costa,Antonella Palmese,Pan Zhiwei,,
22-Apr-21,Martin Landriau,,John Della Costa,Benjamin Alan Weaver,Pan Zhiwei,,
23-Apr-21,Martin Landriau,,John Della Costa,Daniel Eisenstein,Pan Zhiwei,,
24-Apr-21,Martin Landriau,,John Della Costa,Segev BenZvi,Pan Zhiwei,,
25-Apr-21,Martin Landriau,,John Della Costa,Segev BenZvi,Davide Bianchi,,
26-Apr-21,None,,None,None,None,,
27-Apr-21,None,,None,None,None,,
28-Apr-21,James Lasker,,John Della Costa,Alastair Edge,Hui Kong ,,
29-Apr-21,James Lasker,,John Della Costa,Alastair Edge,Hui Kong ,,
30-Apr-21,James Lasker,,Satya Gontcho A Gontcho,Alastair Edge,Julia Ferrer Ereza,,
1-May-21,James Lasker,,Satya Gontcho A Gontcho,Benjamin Alan Weaver,Julia Ferrer Ereza,,
2-May-21,James Lasker,,Satya Gontcho A Gontcho,Benjamin Alan Weaver,Julia Ferrer Ereza,,
3-May-21,Satya Gontcho A Gontcho,Luke Tyas,Claire Poppett,Benjamin Alan Weaver,Julia Ferrer Ereza,,
4-May-21,James Lasker,,Claire Poppett,Benjamin Alan Weaver,Mariana Vargas Magana,,
5-May-21,James Lasker,,Elizabeth Buckley-Geer,Andrea Muñoz Gutiérrez,Mariana Vargas Magana,,
6-May-21,James Lasker,,Elizabeth Buckley-Geer,Andrea Muñoz Gutiérrez,Mariana Vargas Magana,,
7-May-21,James Lasker,,Elizabeth Buckley-Geer,Andrea Muñoz Gutiérrez,Mariana Vargas Magana,,
8-May-21,James Lasker,,Jeffrey A. Newman,Andrea Muñoz Gutiérrez,Abigail Bault,,
9-May-21,James Lasker,,Stephanie Juneau,Huanian Zhang,Abigail Bault,,
10-May-21,James Lasker,,Stephanie Juneau,Huanian Zhang,Abigail Bault,,
11-May-21,Michael Schubnell,,Stephanie Juneau,Hu Zou,Abigail Bault,,
12-May-21,Michael Schubnell,,Stephanie Juneau,Hu Zou,Alma Xochitl Gonzalez Morales,,
13-May-21,Michael Schubnell,,John Della Costa,Alma Xochitl Gonzalez Morales,Sikandar Hanif,,
14-May-21,Michael Schubnell,,John Della Costa,Alma Xochitl Gonzalez Morales,Sikandar Hanif,,
15-May-21,Michael Schubnell,,John Della Costa,Francisco Javier Castander,Alma Xochitl Gonzalez Morales,,
16-May-21,Michael Schubnell,,John Della Costa,Francisco Javier Castander,Francisco Javier Sanchez Lopez,,
